Fecha,Total
26-jul-18,6
30-nov-18,6
29-nov-18,13
28-nov-18,8
27-nov-18,9
26-nov-18,10
23-nov-18,4
22-nov-18,7
21-nov-18,8
20-nov-18,2
19-nov-18,9
16-nov-18,3
15-nov-18,15
14-nov-18,6
13-nov-18,5
12-nov-18,9
09-nov-18,3
08-nov-18,6
07-nov-18,4
06-nov-18,6
05-nov-18,1
02-nov-18,3
31-oct-18,2
30-oct-18,4
29-oct-18,10
26-oct-18,2
25-oct-18,7
24-oct-18,3
23-oct-18,2
22-oct-18,2
18-oct-18,1
17-oct-18,4
16-oct-18,1
15-oct-18,7
11-oct-18,5
10-oct-18,10
09-oct-18,1
08-oct-18,1
05-oct-18,3
04-oct-18,7
03-oct-18,7
02-oct-18,7
01-oct-18,4
28-sep-18,2
27-sep-18,7
26-sep-18,2
25-sep-18,11
21-sep-18,6
20-sep-18,5
19-sep-18,8
18-sep-18,3
17-sep-18,2
16-sep-18,11
12-sep-18,4
11-sep-18,1
09-sep-18,7
07-sep-18,2
06-sep-18,8
04-sep-18,3
31-aug-18,1
30-aug-18,4
29-aug-18,4
28-aug-18,3
27-aug-18,1
24-aug-18,2
23-aug-18,1
22-aug-18,1
21-aug-18,1
20-aug-18,1
17-aug-18,1
16-aug-18,1
14-aug-18,2
10-aug-18,6
09-aug-18,3
08-aug-18,2
07-aug-18,2
06-aug-18,3
03-aug-18,2
02-aug-18,2
31-jul-18,2
30-jul-18,1
27-jul-18,3
25-jul-18,6
24-jul-18,2
23-jul-18,4
20-jul-18,1
19-jul-18,3
18-jul-18,4
17-jul-18,4
16-jul-18,6
13-jul-18,1
12-jul-18,3
11-jul-18,3
10-jul-18,3
09-jul-18,1
06-jul-18,1
05-jul-18,2
04-jul-18,3
03-jul-18,4
02-jul-18,1
29-jun-18,3
28-jun-18,3
27-jun-18,5
26-jun-18,2
25-jun-18,4
21-jun-18,5
20-jun-18,4
19-jun-18,8
18-jun-18,1
15-jun-18,2
14-jun-18,8
13-jun-18,1
12-jun-18,3
11-jun-18,1
08-jun-18,2
07-jun-18,3
06-jun-18,4
05-jun-18,1
04-jun-18,4
01-jun-18,5
31-may-18,1
30-may-18,2
29-may-18,4
28-may-18,5
25-may-18,7
23-may-18,4
22-may-18,6
21-may-18,2
18-may-18,1
17-may-18,2
16-may-18,3
15-may-18,2
14-may-18,7
11-may-18,1
10-may-18,4
09-may-18,1
08-may-18,1
07-may-18,8
04-may-18,1
03-may-18,4
02-may-18,5
30-apr-18,1
27-apr-18,1
26-apr-18,4
25-apr-18,3
24-apr-18,6
23-apr-18,3
20-apr-18,3
19-apr-18,7
18-apr-18,5
16-apr-18,5
13-apr-18,10
12-apr-18,3
11-apr-18,6
10-apr-18,2
09-apr-18,4
06-apr-18,1
05-apr-18,1
04-apr-18,2
03-apr-18,4
02-apr-18,1
28-mar-18,1
27-mar-18,1
26-mar-18,7
23-mar-18,3
22-mar-18,2
21-mar-18,2
20-mar-18,2
19-mar-18,4
16-mar-18,1
15-mar-18,3
14-mar-18,3
13-mar-18,5
12-mar-18,3
09-mar-18,1
08-mar-18,7
07-mar-18,8
06-mar-18,3
05-mar-18,1
02-mar-18,2
01-mar-18,1
28-feb-18,4
27-feb-18,7
26-feb-18,1
23-feb-18,1
22-feb-18,3
21-feb-18,4
20-feb-18,2
19-feb-18,4
16-feb-18,2
15-feb-18,4
14-feb-18,5
13-feb-18,3
12-feb-18,8
09-feb-18,2
08-feb-18,6
07-feb-18,3
06-feb-18,7
02-feb-18,3
01-feb-18,9
31-jan-18,1
30-jan-18,2
29-jan-18,3
26-jan-18,1
23-jan-18,3
22-jan-18,3
19-jan-18,2
18-jan-18,3
17-jan-18,2
16-jan-18,1
15-jan-18,2
14-jan-18,1
11-jan-18,4
10-jan-18,3
09-jan-18,2
08-jan-18,1
04-jan-18,3
03-jan-18,6
02-jan-18,1
29-dec-17,3
28-dec-17,2
27-dec-17,2
26-dec-17,2
22-dec-17,2
21-dec-17,3
20-dec-17,2
19-dec-17,1
15-dec-17,1
11-dec-17,1
05-dec-17,3
04-dec-17,1
01-dec-17,1
30-nov-17,1
29-nov-17,2
28-nov-17,1
27-nov-17,3
24-nov-17,2
23-nov-17,2
22-nov-17,6
21-nov-17,2
20-nov-17,2
17-nov-17,3
16-nov-17,1
14-nov-17,2
13-nov-17,1
12-nov-17,4
08-nov-17,3
07-nov-17,2
06-nov-17,5
05-nov-17,4
02-nov-17,2
31-oct-17,4
30-oct-17,5
27-oct-17,1
26-oct-17,2
25-oct-17,2
24-oct-17,3
23-oct-17,3
19-oct-17,1
18-oct-17,2
17-oct-17,4
16-oct-17,4
13-oct-17,2
11-oct-17,1
10-oct-17,3
09-oct-17,1
06-oct-17,3
05-oct-17,2
04-oct-17,1
03-oct-17,4
02-oct-17,1
29-sep-17,1
28-sep-17,6
27-sep-17,3
26-sep-17,5
25-sep-17,3
22-sep-17,2
21-sep-17,1
20-sep-17,3
19-sep-17,4
18-sep-17,1
15-sep-17,3
14-sep-17,6
13-sep-17,2
12-sep-17,2
07-sep-17,6
06-sep-17,3
05-sep-17,2
04-sep-17,4
01-sep-17,5
31-aug-17,4
29-aug-17,4
28-aug-17,1
25-aug-17,1
23-aug-17,2
22-aug-17,2
21-aug-17,2
16-aug-17,1
14-aug-17,1
11-aug-17,3
10-aug-17,3
09-aug-17,2
08-aug-17,1
07-aug-17,2
02-aug-17,2
01-aug-17,2
31-jul-17,1
26-jul-17,2
25-jul-17,3
24-jul-17,2
21-jul-17,2
20-jul-17,1
19-jul-17,2
18-jul-17,2
17-jul-17,7
14-jul-17,3
13-jul-17,1
12-jul-17,2
11-jul-17,2
10-jul-17,1
07-jul-17,2
06-jul-17,5
05-jul-17,3
03-jul-17,5
30-jun-17,2
29-jun-17,2
28-jun-17,7
27-jun-17,2
26-jun-17,5
21-jun-17,3
19-jun-17,1
16-jun-17,2
15-jun-17,2
13-jun-17,4
12-jun-17,4
09-jun-17,1
08-jun-17,1
07-jun-17,2
06-jun-17,2
05-jun-17,2
02-jun-17,4
01-jun-17,2
31-may-17,3
30-may-17,5
29-may-17,1
26-may-17,1
25-may-17,3
24-may-17,8
23-may-17,2
22-may-17,4
19-may-17,2
18-may-17,3
17-may-17,1
16-may-17,4
12-may-17,5
11-may-17,3
10-may-17,1
09-may-17,2
08-may-17,2
05-may-17,1
04-may-17,5
03-may-17,3
28-apr-17,3
27-apr-17,2
26-apr-17,5
25-apr-17,5
24-apr-17,4
21-apr-17,3
20-apr-17,5
19-apr-17,2
18-apr-17,2
17-apr-17,4
11-apr-17,5
10-apr-17,3
07-apr-17,1
06-apr-17,2
05-apr-17,1
04-apr-17,3
03-apr-17,2
31-mar-17,3
30-mar-17,2
29-mar-17,3
28-mar-17,4
27-mar-17,2
24-mar-17,2
23-mar-17,1
22-mar-17,4
21-mar-17,3
20-mar-17,4
17-mar-17,1
16-mar-17,4
15-mar-17,4
14-mar-17,2
13-mar-17,1
10-mar-17,6
09-mar-17,6
08-mar-17,3
07-mar-17,6
06-mar-17,5
02-mar-17,3
28-feb-17,2
27-feb-17,2
24-feb-17,2
22-feb-17,1
21-feb-17,1
20-feb-17,3
17-feb-17,2
16-feb-17,2
15-feb-17,6
14-feb-17,2
13-feb-17,3
10-feb-17,1
09-feb-17,3
08-feb-17,3
07-feb-17,11
06-feb-17,5
01-feb-17,3
31-jan-17,1
30-jan-17,7
27-jan-17,4
26-jan-17,1
24-jan-17,3
23-jan-17,3
20-jan-17,1
19-jan-17,2
18-jan-17,3
17-jan-17,2
