Fecha,Total
06-jun-18,1
02-feb-18,1
16-jan-17,1
27-sep-16,1
07-mar-16,1
09-feb-16,1
01-feb-16,1
30-nov-15,1
18-sep-15,1
30-jun-15,1
20-may-15,1
17-mar-15,1
28-jan-15,1
04-dec-14,1
24-nov-14,1
05-nov-14,1
28-oct-14,1
02-oct-14,1
19-sep-14,1
08-may-14,1
21-feb-14,1
17-feb-14,1
20-jan-14,1
10-dec-13,1
03-dec-13,1
27-sep-13,1
25-sep-13,1
09-sep-13,1
03-sep-13,1
16-jul-13,1
03-jul-13,1
01-jul-13,1
27-feb-13,1
20-jan-13,1
19-dec-12,1
10-dec-12,1
28-nov-12,1
31-oct-12,1
11-sep-12,1
09-aug-12,1
12-jul-12,1
29-jun-12,1
14-jun-12,1
28-may-12,1
11-may-12,1
25-apr-12,1
16-apr-12,1
12-apr-12,1
29-mar-12,1
28-mar-12,1
22-mar-12,1
16-mar-12,1
20-feb-12,1
17-feb-12,1
31-jan-12,1
30-jan-12,1
19-jan-12,1
04-jan-12,1
07-dec-11,1
28-nov-11,2
23-nov-11,1
22-nov-11,1
17-nov-11,1
15-nov-11,2
03-nov-11,1
31-oct-11,1
21-oct-11,1
17-oct-11,1
10-oct-11,1
09-oct-11,1
25-sep-11,1
17-sep-11,1
14-sep-11,1
06-sep-11,1
19-aug-11,2
16-aug-11,1
29-jul-11,1
28-jul-11,1
27-jul-11,1
18-jul-11,1
13-jul-11,2
10-jul-11,1
24-jun-11,1
13-jun-11,1
08-jun-11,2
07-jun-11,1
02-jun-11,3
30-may-11,1
16-may-11,1
12-may-11,1
11-may-11,1
10-may-11,1
27-apr-11,1
26-apr-11,1
19-apr-11,2
15-apr-11,1
06-apr-11,1
04-apr-11,1
30-mar-11,1
29-mar-11,1
25-mar-11,1
22-mar-11,1
15-mar-11,1
09-mar-11,2
22-feb-11,1
20-feb-11,1
09-feb-11,1
07-feb-11,2
04-feb-11,1
03-feb-11,1
02-feb-11,1
01-feb-11,1
27-jan-11,1
25-jan-11,1
17-jan-11,1
13-jan-11,1
10-jan-11,3
27-dec-10,2
20-dec-10,1
17-dec-10,1
16-dec-10,1
14-dec-10,1
10-dec-10,1
09-dec-10,2
30-nov-10,1
26-nov-10,1
16-nov-10,1
10-nov-10,1
01-nov-10,1
29-oct-10,1
26-oct-10,1
25-oct-10,1
21-oct-10,1
19-oct-10,1
15-oct-10,1
14-oct-10,1
11-oct-10,2
07-oct-10,1
06-oct-10,1
04-oct-10,2
01-oct-10,1
29-sep-10,1
27-sep-10,1
24-sep-10,1
23-sep-10,1
22-sep-10,2
21-sep-10,4
14-sep-10,3
10-sep-10,2
09-sep-10,1
01-sep-10,2
18-aug-10,1
11-aug-10,2
03-aug-10,1
29-jul-10,2
21-jul-10,2
14-jul-10,1
18-jun-10,1
15-jun-10,1
13-jun-10,1
11-jun-10,1
10-jun-10,1
09-jun-10,1
27-may-10,1
24-may-10,1
21-may-10,1
18-may-10,1
13-may-10,1
12-may-10,1
11-may-10,2
03-may-10,1
28-apr-10,1
23-apr-10,1
22-apr-10,2
21-apr-10,1
19-apr-10,1
13-apr-10,1
06-apr-10,1
05-apr-10,1
04-apr-10,1
26-mar-10,1
24-mar-10,1
17-mar-10,1
15-mar-10,1
11-mar-10,1
09-mar-10,1
05-mar-10,1
02-mar-10,1
26-feb-10,2
24-feb-10,1
09-feb-10,1
08-feb-10,2
06-feb-10,1
01-feb-10,1
30-jan-10,1
22-jan-10,1
21-jan-10,1
19-jan-10,1
18-jan-10,1
11-jan-10,1
28-dec-09,1
27-dec-09,1
14-dec-09,1
09-dec-09,2
04-dec-09,1
19-nov-09,1
13-nov-09,1
12-nov-09,1
09-nov-09,1
05-nov-09,1
03-nov-09,1
02-nov-09,1
19-oct-09,1
05-oct-09,1
02-oct-09,1
25-sep-09,2
17-sep-09,1
16-sep-09,1
10-sep-09,1
27-aug-09,2
06-aug-09,1
27-jul-09,2
20-jul-09,1
13-jul-09,1
10-jul-09,1
08-jul-09,1
03-jul-09,1
27-jun-09,1
18-jun-09,1
11-jun-09,1
08-jun-09,1
04-jun-09,1
27-may-09,2
18-may-09,1
14-may-09,1
08-may-09,2
30-apr-09,1
27-apr-09,1
22-apr-09,1
15-apr-09,2
01-apr-09,2
30-mar-09,1
20-mar-09,1
16-mar-09,1
09-mar-09,1
25-feb-09,1
24-feb-09,1
23-feb-09,1
17-feb-09,1
16-feb-09,1
12-feb-09,1
09-feb-09,1
06-feb-09,1
05-feb-09,1
26-jan-09,1
25-jan-09,1
19-jan-09,1
15-jan-09,2
14-jan-09,1
09-jan-09,1
30-dec-08,1
18-dec-08,1
16-dec-08,1
05-dec-08,1
04-dec-08,1
29-nov-08,1
21-nov-08,1
17-nov-08,1
10-nov-08,1
30-oct-08,1
23-oct-08,2
21-oct-08,1
20-oct-08,1
12-oct-08,1
07-oct-08,5
