Fecha,Total
30-nov-18,4
29-nov-18,5
28-nov-18,4
27-nov-18,5
26-nov-18,6
23-nov-18,2
22-nov-18,6
21-nov-18,3
20-nov-18,3
19-nov-18,5
16-nov-18,2
15-nov-18,1
14-nov-18,5
13-nov-18,1
12-nov-18,6
09-nov-18,1
08-nov-18,2
07-nov-18,2
06-nov-18,3
05-nov-18,1
02-nov-18,5
31-oct-18,4
30-oct-18,3
29-oct-18,9
25-oct-18,2
24-oct-18,2
23-oct-18,2
22-oct-18,7
19-oct-18,6
18-oct-18,3
17-oct-18,9
16-oct-18,1
15-oct-18,6
11-oct-18,6
10-oct-18,2
09-oct-18,1
08-oct-18,2
05-oct-18,4
04-oct-18,3
03-oct-18,6
01-oct-18,2
28-sep-18,4
27-sep-18,2
26-sep-18,3
25-sep-18,4
21-sep-18,6
20-sep-18,4
19-sep-18,1
18-sep-18,5
17-sep-18,1
16-sep-18,5
12-sep-18,1
11-sep-18,1
09-sep-18,6
08-sep-18,1
07-sep-18,2
06-sep-18,4
04-sep-18,1
03-sep-18,2
31-aug-18,2
29-aug-18,1
28-aug-18,1
27-aug-18,2
24-aug-18,1
23-aug-18,1
21-aug-18,1
20-aug-18,1
17-aug-18,1
14-aug-18,1
10-aug-18,2
09-aug-18,1
08-aug-18,2
07-aug-18,2
06-aug-18,4
01-aug-18,4
31-jul-18,1
30-jul-18,4
26-jul-18,1
25-jul-18,1
24-jul-18,3
23-jul-18,3
20-jul-18,2
19-jul-18,2
18-jul-18,3
17-jul-18,2
16-jul-18,1
14-jul-18,2
13-jul-18,1
12-jul-18,1
11-jul-18,3
10-jul-18,2
09-jul-18,1
06-jul-18,3
05-jul-18,4
03-jul-18,1
02-jul-18,4
29-jun-18,6
28-jun-18,3
27-jun-18,4
26-jun-18,2
25-jun-18,1
21-jun-18,3
20-jun-18,1
19-jun-18,6
18-jun-18,1
15-jun-18,3
14-jun-18,5
13-jun-18,2
12-jun-18,3
11-jun-18,4
08-jun-18,2
07-jun-18,9
06-jun-18,2
04-jun-18,3
01-jun-18,4
31-may-18,3
30-may-18,1
29-may-18,2
28-may-18,2
25-may-18,3
23-may-18,4
22-may-18,1
18-may-18,1
17-may-18,6
16-may-18,1
15-may-18,1
14-may-18,3
11-may-18,2
10-may-18,1
09-may-18,1
08-may-18,1
07-may-18,5
04-may-18,2
03-may-18,5
25-apr-18,2
24-apr-18,1
20-apr-18,1
19-apr-18,2
18-apr-18,2
17-apr-18,2
16-apr-18,2
12-apr-18,3
11-apr-18,5
10-apr-18,2
09-apr-18,1
06-apr-18,5
05-apr-18,2
04-apr-18,4
03-apr-18,3
27-mar-18,2
26-mar-18,5
23-mar-18,1
22-mar-18,4
21-mar-18,1
19-mar-18,5
16-mar-18,2
15-mar-18,1
14-mar-18,2
13-mar-18,5
09-mar-18,6
08-mar-18,4
07-mar-18,3
06-mar-18,3
05-mar-18,2
02-mar-18,1
01-mar-18,1
28-feb-18,2
27-feb-18,7
26-feb-18,1
23-feb-18,2
22-feb-18,1
21-feb-18,7
16-feb-18,2
15-feb-18,4
14-feb-18,5
13-feb-18,1
12-feb-18,2
09-feb-18,1
08-feb-18,2
07-feb-18,3
06-feb-18,2
05-feb-18,2
02-feb-18,2
01-feb-18,3
31-jan-18,1
29-jan-18,1
26-jan-18,1
25-jan-18,2
24-jan-18,2
22-jan-18,2
19-jan-18,1
18-jan-18,4
17-jan-18,1
16-jan-18,2
15-jan-18,2
14-jan-18,5
11-jan-18,1
10-jan-18,6
09-jan-18,2
05-jan-18,1
04-jan-18,2
03-jan-18,1
29-dec-17,1
26-dec-17,1
22-dec-17,1
20-dec-17,2
19-dec-17,4
18-dec-17,3
14-dec-17,2
13-dec-17,2
12-dec-17,2
11-dec-17,1
07-dec-17,1
04-dec-17,3
01-dec-17,3
30-nov-17,1
29-nov-17,4
28-nov-17,1
27-nov-17,1
24-nov-17,2
23-nov-17,6
22-nov-17,2
21-nov-17,2
20-nov-17,4
17-nov-17,2
16-nov-17,3
15-nov-17,1
14-nov-17,1
13-nov-17,2
09-nov-17,1
08-nov-17,1
07-nov-17,2
06-nov-17,4
05-nov-17,2
02-nov-17,2
31-oct-17,5
30-oct-17,1
27-oct-17,3
25-oct-17,1
24-oct-17,3
23-oct-17,3
20-oct-17,2
19-oct-17,3
18-oct-17,1
17-oct-17,1
13-oct-17,3
11-oct-17,1
09-oct-17,1
06-oct-17,2
05-oct-17,1
04-oct-17,1
03-oct-17,4
02-oct-17,2
29-sep-17,1
28-sep-17,2
26-sep-17,2
25-sep-17,2
22-sep-17,1
21-sep-17,2
20-sep-17,3
19-sep-17,1
18-sep-17,4
15-sep-17,2
14-sep-17,5
13-sep-17,1
12-sep-17,2
08-sep-17,1
07-sep-17,1
06-sep-17,3
05-sep-17,3
04-sep-17,3
01-sep-17,1
31-aug-17,2
30-aug-17,1
29-aug-17,3
28-aug-17,3
25-aug-17,2
24-aug-17,1
23-aug-17,3
22-aug-17,2
21-aug-17,1
18-aug-17,1
16-aug-17,1
09-aug-17,1
01-aug-17,3
28-jul-17,1
27-jul-17,1
26-jul-17,1
25-jul-17,6
24-jul-17,3
21-jul-17,4
19-jul-17,3
18-jul-17,4
14-jul-17,1
11-jul-17,1
10-jul-17,2
07-jul-17,2
06-jul-17,1
05-jul-17,1
04-jul-17,1
03-jul-17,1
30-jun-17,1
29-jun-17,3
28-jun-17,1
27-jun-17,1
26-jun-17,7
23-jun-17,1
21-jun-17,5
20-jun-17,7
19-jun-17,3
16-jun-17,3
15-jun-17,2
14-jun-17,1
13-jun-17,1
12-jun-17,4
07-jun-17,1
06-jun-17,3
05-jun-17,1
02-jun-17,1
31-may-17,6
29-may-17,1
26-may-17,2
22-may-17,3
19-may-17,1
18-may-17,4
17-may-17,4
16-may-17,3
12-may-17,2
11-may-17,2
10-may-17,2
09-may-17,2
08-may-17,2
05-may-17,2
04-may-17,3
03-may-17,3
28-apr-17,3
27-apr-17,2
26-apr-17,2
25-apr-17,1
24-apr-17,2
21-apr-17,4
20-apr-17,1
19-apr-17,7
17-apr-17,3
12-apr-17,2
10-apr-17,3
07-apr-17,1
05-apr-17,3
04-apr-17,5
31-mar-17,5
30-mar-17,3
29-mar-17,2
28-mar-17,2
27-mar-17,5
24-mar-17,5
22-mar-17,1
21-mar-17,4
20-mar-17,1
16-mar-17,3
15-mar-17,2
14-mar-17,3
13-mar-17,2
09-mar-17,2
08-mar-17,1
07-mar-17,6
06-mar-17,5
02-mar-17,2
01-mar-17,1
28-feb-17,4
27-feb-17,4
23-feb-17,4
22-feb-17,4
21-feb-17,3
20-feb-17,2
17-feb-17,1
16-feb-17,3
15-feb-17,1
14-feb-17,3
13-feb-17,1
10-feb-17,1
09-feb-17,1
08-feb-17,2
07-feb-17,3
06-feb-17,1
02-feb-17,6
01-feb-17,4
31-jan-17,3
30-jan-17,5
27-jan-17,3
26-jan-17,4
25-jan-17,4
24-jan-17,1
23-jan-17,1
20-jan-17,1
19-jan-17,2
18-jan-17,5
17-jan-17,1
16-jan-17,3
13-jan-17,4
12-jan-17,3
11-jan-17,1
10-jan-17,3
09-jan-17,1
05-jan-17,1
04-jan-17,3
03-jan-17,3
02-jan-17,1
31-dec-16,1
29-dec-16,1
28-dec-16,5
22-dec-16,1
21-dec-16,4
20-dec-16,1
19-dec-16,2
13-dec-16,7
12-dec-16,1
09-dec-16,1
05-dec-16,2
02-dec-16,1
01-dec-16,2
30-nov-16,2
29-nov-16,1
28-nov-16,1
25-nov-16,2
24-nov-16,1
22-nov-16,2
21-nov-16,2
18-nov-16,3
17-nov-16,3
16-nov-16,3
15-nov-16,1
14-nov-16,6
11-nov-16,3
10-nov-16,1
09-nov-16,4
08-nov-16,1
02-nov-16,3
31-oct-16,2
28-oct-16,1
27-oct-16,2
25-oct-16,1
24-oct-16,4
21-oct-16,4
20-oct-16,1
19-oct-16,2
18-oct-16,2
17-oct-16,1
14-oct-16,3
13-oct-16,3
12-oct-16,1
11-oct-16,5
10-oct-16,6
07-oct-16,1
06-oct-16,4
05-oct-16,2
04-oct-16,3
03-oct-16,1
30-sep-16,4
29-sep-16,1
28-sep-16,3
26-sep-16,9
23-sep-16,3
21-sep-16,8
20-sep-16,10
19-sep-16,2
15-sep-16,1
14-sep-16,1
12-sep-16,1
08-sep-16,3
06-sep-16,2
05-sep-16,1
02-sep-16,2
01-sep-16,1
31-aug-16,2
30-aug-16,2
29-aug-16,2
26-aug-16,2
25-aug-16,4
24-aug-16,4
23-aug-16,1
22-aug-16,2
18-aug-16,2
17-aug-16,1
11-aug-16,1
10-aug-16,2
09-aug-16,4
04-aug-16,1
03-aug-16,2
02-aug-16,2
01-aug-16,1
29-jul-16,2
28-jul-16,4
27-jul-16,1
26-jul-16,1
24-jul-16,1
21-jul-16,6
20-jul-16,1
18-jul-16,2
15-jul-16,5
14-jul-16,2
12-jul-16,4
11-jul-16,1
08-jul-16,2
07-jul-16,2
05-jul-16,1
01-jul-16,1
