Fecha,Total
30-nov-18,6
29-nov-18,1
28-nov-18,1
26-nov-18,6
23-nov-18,1
22-nov-18,1
21-nov-18,2
19-nov-18,2
16-nov-18,1
15-nov-18,2
13-nov-18,3
12-nov-18,4
09-nov-18,2
08-nov-18,3
07-nov-18,1
06-nov-18,2
30-oct-18,1
24-oct-18,1
23-oct-18,1
18-oct-18,1
17-oct-18,1
15-oct-18,2
11-oct-18,1
10-oct-18,2
04-oct-18,1
03-oct-18,1
02-oct-18,3
27-sep-18,1
25-sep-18,1
21-sep-18,1
19-sep-18,2
17-sep-18,1
16-sep-18,2
12-sep-18,2
09-sep-18,1
06-sep-18,1
04-sep-18,1
29-aug-18,1
28-aug-18,2
16-aug-18,1
14-aug-18,1
13-aug-18,1
08-aug-18,1
07-aug-18,1
31-jul-18,2
24-jul-18,1
23-jul-18,1
17-jul-18,1
16-jul-18,2
12-jul-18,1
11-jul-18,1
05-jul-18,1
03-jul-18,3
21-jun-18,2
19-jun-18,2
14-jun-18,2
12-jun-18,3
07-jun-18,3
06-jun-18,1
28-may-18,1
23-may-18,2
21-may-18,1
14-may-18,1
10-may-18,1
09-may-18,1
08-may-18,1
03-may-18,1
02-may-18,1
30-apr-18,1
26-apr-18,1
24-apr-18,1
23-apr-18,2
20-apr-18,1
19-apr-18,2
16-apr-18,2
13-apr-18,2
11-apr-18,2
04-apr-18,2
02-apr-18,1
26-mar-18,3
23-mar-18,1
22-mar-18,1
21-mar-18,1
19-mar-18,1
16-mar-18,1
14-mar-18,1
13-mar-18,1
08-mar-18,2
07-mar-18,1
02-mar-18,1
01-mar-18,1
28-feb-18,2
27-feb-18,2
21-feb-18,1
20-feb-18,2
16-feb-18,1
08-feb-18,1
07-feb-18,1
01-feb-18,3
29-jan-18,1
26-jan-18,1
23-jan-18,1
18-jan-18,1
09-jan-18,1
04-jan-18,2
03-jan-18,1
02-jan-18,1
29-dec-17,1
19-dec-17,1
05-dec-17,1
04-dec-17,1
30-nov-17,1
29-nov-17,1
23-nov-17,1
17-nov-17,1
13-nov-17,1
07-nov-17,1
30-oct-17,1
19-oct-17,1
18-oct-17,1
05-oct-17,1
20-sep-17,1
