UX-UI,ciudad,fecha
UX-UI,En remoto,04-02-10
UX-UI,En remoto,04-03-10
UX-UI,Madrid,30-08-10
UX-UI,Madrid,06-05-11
UX-UI,Madrid,12-05-11
UX-UI,Altea,01-06-11
UX-UI,Madrid,19-08-11
UX-UI,Madrid,24-08-11
UX-UI,Barcelona,18-10-11
UX-UI,Madrid,06-12-11
UX-UI,Barcelona,05-01-12
UX-UI,San Pedro,09-01-12
UX-UI,Westfield,07-01-12
UX-UI,Ciudad Juárez,20-02-12
UX-UI,Vigo,10-05-12
UX-UI,Barcelona,28-05-12
UX-UI,Barcelona,04-06-12
UX-UI,Barcelona,05-12-12
UX-UI,Madrid,03-01-13
UX-UI,Barcelona,23-01-13
UX-UI,Madrid,08-03-13
UX-UI,Valencia,17-04-13
UX-UI,Madrid,09-07-13
UX-UI,Madrid,23-07-13
UX-UI,indiferente,11-08-13
UX-UI,Barcelona,23-10-13
UX-UI,Madrid,05-11-13
UX-UI,Madrid,04-11-13
UX-UI,Alcobendas,06-11-13
UX-UI,Barcelona,09-12-13
UX-UI,Barcelona,13-01-14
UX-UI,Madrid,03-02-14
UX-UI,Madrid,05-03-14
UX-UI,Bilbo,05-03-14
UX-UI,Murcia,25-04-14
UX-UI,Madrid,27-05-14
UX-UI,Barcelona,27-05-14
UX-UI,Lisboa,01-07-14
UX-UI,Madrid,16-07-14
UX-UI,Barcelona,07-08-14
UX-UI,Leganés,07-08-14
UX-UI,Madrid,16-09-14
UX-UI,Madrid,03-10-14
UX-UI,Madrid,21-10-14
UX-UI,Elda,16-10-14
UX-UI,Madrid,31-10-14
UX-UI,Madrid,26-11-14
UX-UI,Barcelona,25-11-14
UX-UI,Barcelona,07-01-15
UX-UI,Barcelona,13-01-15
UX-UI,Barcelona,12-02-15
UX-UI,Barcelona,12-02-15
UX-UI,Madrid,09-02-15
UX-UI,Barcelona,15-02-15
UX-UI,Valencia,27-02-15
UX-UI,Barcelona,26-02-15
UX-UI,Barcelona,04-03-15
UX-UI,Murcia,17-03-15
UX-UI,Madrid,16-03-15
UX-UI,Las Palmas de Gran Canaria,10-04-15
UX-UI,Barcelona,14-04-15
UX-UI,Alcoy,13-04-15
UX-UI,Sevilla,17-04-15
UX-UI,Madrid,22-04-15
UX-UI,Gijón,07-05-15
UX-UI,Rafelbuñol,13-05-15
UX-UI,Madrid,12-05-15
UX-UI,Madrid,18-05-15
UX-UI,Barcelona,22-05-15
UX-UI,Barcelona,29-05-15
UX-UI,Madrid,10-06-15
UX-UI,Barcelona,11-06-15
UX-UI,Madrid,06-07-15
UX-UI,Madrid,15-07-15
UX-UI,Barcelona,17-07-15
UX-UI,Barcelona,03-08-15
UX-UI,Indiferente,07-09-15
UX-UI,Barcelona,03-09-15
UX-UI,Algete,09-09-15
UX-UI,Barcelona,29-09-15
UX-UI,Madrid,07-10-15
UX-UI,Valencia,15-10-15
UX-UI,Barcelona,21-10-15
UX-UI,Palma,28-10-15
UX-UI,Ávila,27-10-15
UX-UI,Madrid,27-10-15
UX-UI,Zúrich,03-11-15
UX-UI,Barcelona,23-11-15
UX-UI,Barcelona,20-11-15
UX-UI,Madrid,26-11-15
UX-UI,Madrid,26-11-15
UX-UI,Madrid,03-12-15
UX-UI,Madrid,03-12-15
UX-UI,Nom Pen,30-11-15
UX-UI,Ciudad de México,21-12-15
UX-UI,Pozuelo de Alarcón,16-12-15
UX-UI,Barcelona,23-12-15
UX-UI,Madrid,21-12-15
UX-UI,Madrid,13-01-16
UX-UI,Barcelona,18-01-16
UX-UI,Madrid,21-01-16
UX-UI,Barcelona,19-01-16
